,Tweet_ID,fav_count,retweet_count
0,892420643555336193,38695,8558
1,892177421306343426,33165,6292
2,891815181378084864,24964,4173
3,891689557279858688,42078,8690
4,891327558926688256,40226,9452
5,891087950875897856,20171,3127
6,890971913173991426,11816,2082
7,890729181411237888,65362,18983
8,890609185150312448,27725,4281
9,890240255349198849,31865,7451
10,890006608113172480,30578,7365
11,889880896479866881,27728,4991
12,889665388333682689,48014,10109
13,889638837579907072,27118,4566
14,889531135344209921,15063,2242
15,889278841981685760,25243,5449
16,888917238123831296,29007,4516
17,888804989199671297,25532,4362
18,888554962724278272,19857,3595
19,888078434458587136,21700,3509
20,887705289381826560,30113,5415
21,887517139158093824,46123,11717
22,887473957103951883,68946,18309
23,887343217045368832,33600,10449
24,887101392804085760,30461,5987
25,886983233522544640,35067,7807
26,886736880519319552,12040,3311
27,886680336477933568,22364,4487
28,886366144734445568,21145,3209
29,886267009285017600,116,4
30,886258384151887873,27918,6316
31,886054160059072513,0,104
32,885984800019947520,32621,6840
33,885528943205470208,35916,6462
34,885518971528720385,20377,3776
35,885311592912609280,0,18648
36,885167619883638784,21900,4400
37,884925521741709313,77391,18528
38,884876753390489601,27875,5809
39,884562892145688576,24242,4889
40,884441805382717440,26932,5670
41,884247878851493888,72867,20543
42,884162670584377345,20341,2998
43,883838122936631299,21850,3459
44,883482846933004288,45862,10014
45,883360690899218434,22517,3693
46,883117836046086144,37141,6704
47,882992080364220416,23899,3941
48,882762694511734784,28259,4943
49,882627270321602560,27848,6123
50,882268110199369728,44903,11674
51,882045870035918850,29286,5009
52,881906580714921986,24240,3412
53,881666595344535552,50449,10739
54,881633300179243008,128,7
55,881536004380872706,49362,16078
56,881268444196462592,23021,5183
57,880935762899988482,16971,2790
58,880872448815771648,21261,3839
59,880465832366813184,28470,6325
60,880221127280381952,27021,4256
61,880095782870896641,27567,4382
62,879862464715927552,22260,3514
63,879674319642796034,311,10
64,879492040517615616,23367,3202
65,879415818425184262,105714,44513
66,879376492567855104,16741,3136
67,879130579576475649,0,6886
68,879050749262655488,22547,4744
69,879008229531029506,18935,2711
70,878776093423087618,19376,4161
71,878604707211726852,30229,7288
72,878404777348136964,0,1300
